Jap	Eng	type	id
万物創世龍	Ten Thousand Dragon	MONSTER SPSUMMON EFFECT	10000
リミット・リバース	Limit Reverse	TRAP CONTINUOUS	27551
13人目の埋葬者	The 13th Grave	MONSTER NORMAL	32864
SPYRAL－ボルテックス	SPYRAL Sleeper	MONSTER SPSUMMON EFFECT	35699
バスター・スナイパー	Assault Sentinel	MONSTER EFFECT	39015
DD魔導賢者トーマス	D/D Savant Thomas	MONSTER EFFECT PENDULUM	41546
ジェム・エンハンス	Gem-Enhancement	TRAP	41777
マジシャンズ・サークル	Magician's Circle	TRAP	50755
競闘－クロス・ディメンション	Cross-Dimensional Duel	TRAP	56889
闇晦ましの城	Castle of Dark Illusions	MONSTER FLIP EFFECT	62121
ダウンビート	Downbeat	SPELL	96540
光波分光	Cipher Spectrum	TRAP	98905
溶岩魔神ラヴァ・ゴーレム	Lava Golem	MONSTER SPSUMMON EFFECT	102380
黒魔導強化	Dark Magic Expanded	QUICKPLAY SPELL	111280
プレートクラッシャー	Seismic Crasher	MONSTER EFFECT	114932
EMスカイ・ピューピル	Performapal Sky Pupil	MONSTER EFFECT	122520
ラヴァル・ランスロッド	Laval Lancelord	MONSTER EFFECT	123709
悪魔のサイコロ	Skull Dice	TRAP	126218
EMスプリングース	Performapal Springoose	MONSTER EFFECT	128454
ミラクル・フリッパー	Miracle Flipper	MONSTER EFFECT	131182
キーマウス	Key Mouse	MONSTER TUNER EFFECT	135598
機関重連アンガー・ナックル	Double Headed Anger Knuckle	MONSTER EFFECT LINK	146746
小人のいたずら	Mischief of the Gnomes	TRAP	164710
ヴァイロン・ハプト	Vylon Hept	MONSTER EFFECT	168917
コアキメイル・テストベッド	Koa'ki Meiru Prototype	MONSTER EFFECT	176392
コアキメイルトークン	Koa'ki Meiru Token	MONSTER TOKEN NORMAL	176393
ヒーローフラッシュ！！	Hero Flash!!	SPELL	191749
フリック・クラウン	Flick Clown	MONSTER EFFECT	209710
E－エマージェンシーコール	E - Emergency Call	SPELL	213326
フェンリル	Fenrir	MONSTER SPSUMMON EFFECT	218704
