id	Jap_FullWidth	AutoSet
10000	万物創世龍	
27551	リミット・リバース	 ,attack,<,1000
32864	１３人目の埋葬者	
35699	ＳＰＹＲＡＬ－ボルテックス	" ,cat_Jap,include,SPYRAL
 ,cat_Jap,include,SPYRAL"
39015	バスター・スナイパー	" ,type,include,SYNCHRO
 ,type,include,SYNCHRO"
41546	ＤＤ魔導賢者トーマス	" ,cat_Jap,include,DD__And,type,include,PENDULUM
 ,cat_Jap,include,DD
 ,cat_Jap,include,DDD"
41777	ジェム・エンハンス	" ,cat_Jap,include,ジェムナイト
 ,cat_Jap,include,ジェムナイト"
50755	マジシャンズ・サークル	 ,attack,<,2000__ ,race,==,SPELLCASTER
56889	競闘－クロス・ディメンション	 ,cat_Jap,include,アンティーク・ギア
62121	闇晦ましの城	
96540	ダウンビート	
98905	光波分光	" ,cat_Jap,include,サイファー__And,type,include,XYZ
 ,type,include,XYZ__And,id,==,cd"
102380	溶岩魔神ラヴァ・ゴーレム	
111280	黒魔導強化	" ,(,1,.__ ,id,==,46986414__ ,id,==,38033121
 ,race,==,SPELLCASTER__And,attribute,==,DARK"
114932	プレートクラッシャー	 ,type,include,CONTINUOUS
122520	ＥＭスカイ・ピューピル	
123709	ラヴァル・ランスロッド	 ,attribute,==,FIRE
126218	悪魔のサイコロ	
128454	ＥＭスプリングース	
131182	ミラクル・フリッパー	
135598	キーマウス	 ,level,<,3__ ,race,==,BEAST
146746	機関重連アンガー・ナックル	" ,type,include,MONSTER
 ,level,==,10__ ,race,==,MACHINE"
164710	小人のいたずら	
168917	ヴァイロン・ハプト	 ,cat_Jap,include,ヴァイロン
176392	コアキメイル・テストベッド	 ,cat_Jap,include,コアキメイル
176393	コアキメイルトークン	 ,cat_Jap,include,コアキメイル
191749	ヒーローフラッシュ！！	" ,id,==,code
 ,cat_Jap,include,E・HERO__And,type,include,NORMAL
 ,type,include,NORMAL__And,cat_Jap,include,E・HERO"
209710	フリック・クラウン	
213326	Ｅ－エマージェンシーコール	 ,cat_Jap,include,E・HERO__And,type,include,MONSTER
218704	フェンリル	 ,attribute,==,WATER
220414	ＥＭターントルーパー	
242146	城壁壊しの大槍	
255998	ラピッド・ウォリアー	
259314	甲虫装機の手甲	 ,cat_Jap,include,甲虫装機
263926	独法師	
269012	神縛りの塚	 ,attribute,==,DIVINE__And,type,include,MONSTER
269510	天火の牢獄	 ,race,==,CYBERSE
276357	霊魂の円環	 ,type,include,SPIRIT
282886	水精鱗－アビスノーズ	" ,attribute,==,WATER
 ,cat_Jap,include,水精鱗"
286392	ジェット・ウォリアー	 ,level,<,2
293542	ＴＧ ワーウルフ	 ,cat_Jap,include,TG__And,type,include,MONSTER
295517	伝説の都 アトランティス	
296499	一族の掟	
303660	電脳増幅器	
313513	魔法の歯車	 ,cat_Jap,include,アンティーク・ギア
336369	ガスタ・スクイレル	 ,level,>,5__ ,cat_Jap,include,ガスタ
340002	ＥＭハンマーマンモ	" ,cat_Jap,include,EM
 ,(,1,.__ ,type,include,SPELL__Or,type,include,TRAP__.,),1,."
359563	ヴェルズ・ナイトメア	
368382	ダイナミスト・ブラキオン	 ,cat_Jap,include,ダイナミスト
