Jap	Eng	type	id
万物創世龍	Ten Thousand Dragon	EFFECT SPSUMMON MONSTER	10000
リミット・リバース	Limit Reverse	TRAP CONTINUOUS	27551
13人目の埋葬者	The 13th Grave	NORMAL MONSTER	32864
SPYRAL－ボルテックス	SPYRAL Sleeper	EFFECT SPSUMMON MONSTER	35699
バスター・スナイパー	Assault Sentinel	EFFECT MONSTER	39015
DD魔導賢者トーマス	D/D Savant Thomas	EFFECT PENDULUM MONSTER	41546
ジェム・エンハンス	Gem-Enhancement	TRAP	41777
マジシャンズ・サークル	Magician's Circle	TRAP	50755
競闘－クロス・ディメンション	Cross-Dimensional Duel	TRAP	56889
闇晦ましの城	Castle of Dark Illusions	EFFECT FLIP MONSTER	62121
ダウンビート	Downbeat	SPELL	96540
光波分光	Cipher Spectrum	TRAP	98905
溶岩魔神ラヴァ・ゴーレム	Lava Golem	EFFECT SPSUMMON MONSTER	102380
黒魔導強化	Dark Magic Expanded	QUICKPLAY SPELL	111280
プレートクラッシャー	Seismic Crasher	EFFECT MONSTER	114932
EMスカイ・ピューピル	Performapal Sky Pupil	EFFECT MONSTER	122520
ラヴァル・ランスロッド	Laval Lancelord	EFFECT MONSTER	123709
悪魔のサイコロ	Skull Dice	TRAP	126218
EMスプリングース	Performapal Springoose	EFFECT MONSTER	128454
ミラクル・フリッパー	Miracle Flipper	EFFECT MONSTER	131182
キーマウス	Key Mouse	EFFECT TUNER MONSTER	135598
機関重連アンガー・ナックル	Double Headed Anger Knuckle	EFFECT LINK MONSTER	146746
小人のいたずら	Mischief of the Gnomes	TRAP	164710
ヴァイロン・ハプト	Vylon Hept	EFFECT MONSTER	168917
コアキメイル・テストベッド	Koa'ki Meiru Prototype	EFFECT MONSTER	176392
コアキメイルトークン	Koa'ki Meiru Token	TOKEN NORMAL MONSTER	176393
ヒーローフラッシュ！！	Hero Flash!!	SPELL	191749
フリック・クラウン	Flick Clown	EFFECT MONSTER	209710
E－エマージェンシーコール	E - Emergency Call	SPELL	213326
フェンリル	Fenrir	EFFECT SPSUMMON MONSTER	218704
EMターントルーパー	Performapal Turntrooper	EFFECT MONSTER	220414
城壁壊しの大槍	Ballista of Rampart Smashing	EQUIP SPELL	242146
ラピッド・ウォリアー	Rapid Warrior	EFFECT MONSTER	255998
甲虫装機の手甲	Inzektor Gauntlet	TRAP	259314
独法師	Bonze Alone	EFFECT MONSTER	263926
神縛りの塚	Mound of the Bound Creator	SPELL FIELD	269012
天火の牢獄	Fire Prison	SPELL FIELD	269510
霊魂の円環	Shinobird Salvation	TRAP CONTINUOUS	276357
水精鱗－アビスノーズ	Mermail Abyssnose	EFFECT MONSTER	282886
ジェット・ウォリアー	Jet Warrior	EFFECT SYNCHRO MONSTER	286392
TG ワーウルフ	T.G. Warwolf	EFFECT MONSTER	293542
伝説の都 アトランティス	A Legendary Ocean	SPELL FIELD	295517
一族の掟	The Regulation of Tribe	TRAP CONTINUOUS	296499
電脳増幅器	Amplifier	EQUIP SPELL	303660
魔法の歯車	Spell Gear	SPELL	313513
ガスタ・スクイレル	Gusto Squirro	EFFECT TUNER MONSTER	336369
EMハンマーマンモ	Performapal Elephammer	EFFECT MONSTER	340002
ヴェルズ・ナイトメア	Evilswarm Nightmare	EFFECT XYZ MONSTER	359563
ダイナミスト・ブラキオン	Dinomist Brachion	EFFECT PENDULUM MONSTER	368382
讃美火	Firebrand Hymnist	EFFECT MONSTER	373085
ガガガシスター	Gagaga Sister	EFFECT MONSTER	387282
エレキリン	Wattgiraffe	EFFECT MONSTER	402568
連合軍	The A. Forces	SPELL CONTINUOUS	403847
召喚僧サモンプリースト	Summoner Monk	EFFECT MONSTER	423585
鉄の騎士 ギア・フリード	Gearfried the Iron Knight	EFFECT MONSTER	423705
強欲ゴブリン	Goblin of Greed	EFFECT MONSTER	425934
バハムート・シャーク	Bahamut Shark	EFFECT XYZ MONSTER	440556
法の聖典	The Book of the Law	QUICKPLAY SPELL	458748
デストーイ・シザー・タイガー	Frightfur Tiger	EFFECT FUSION MONSTER	464362
猛吹雪	Driving Snow	TRAP	473469
ウォーター・スピリット	Water Spirit	NORMAL TUNER MONSTER	487395
超重荒神スサノ－O	Superheavy Samurai Warlord Susanowo	EFFECT SYNCHRO MONSTER	494922
プチトマボー	Cherry Inmato	EFFECT TUNER MONSTER	525110
プリヴェント・ラット	Prevent Rat	NORMAL MONSTER	549481
ミンゲイドラゴン	Totem Dragon	EFFECT MONSTER	564541
PSYフレーム・サーキット	PSY-Frame Circuit	SPELL FIELD	575512
ダイガスタ・エメラル	Daigusto Emeral	EFFECT XYZ MONSTER	581014
アンクリボー	Ankuriboh	EFFECT MONSTER	595626
毒蛇の牙	Snake Fang	TRAP	596051
Sin レインボー・ドラゴン	Malefic Rainbow Dragon	EFFECT SPSUMMON MONSTER	598988
彼岸の詩人 ウェルギリウス	Virgil, Rock Star of the Burning Abyss	EFFECT SYNCHRO MONSTER	601193
剣闘獣レティアリィ	Gladiator Beast Retiari	EFFECT MONSTER	612115
Monster Express	Monster Express	EFFECT MONSTER	637216
サイバース・ガジェット	Cyberse Gadget	EFFECT MONSTER	645087
ガジェット・トークン	Gadget Token	TOKEN NORMAL MONSTER	645088
マジェスペクター・フロッグ	Majespecter Toad - Ogama	EFFECT PENDULUM MONSTER	645794
エーリアンモナイト	Alien Ammonite	EFFECT TUNER MONSTER	652362
ダーク・バースト	Dark Eruption	SPELL	674561
ゾディアックS	Zodiac Sign	SPELL FIELD	675319
ソーラー・エクスチェンジ	Solar Recharge	SPELL	691925
サンダーエンド・ドラゴン	Thunder End Dragon	EFFECT XYZ MONSTER	698785
オルフェゴール・クリマクス	Orcust Crescendo	TRAP COUNTER	703897
海皇の狙撃兵	Atlantean Marksman	EFFECT MONSTER	706925
アマゾネスの里	Amazoness Village	SPELL FIELD	712559
王の憤激	Generaider Boss Bite	TRAP	720147
髑髏の寺院	Temple of Skulls	NORMAL MONSTER	732302
彼岸の悪鬼 ラビキャント	Rubic, Malebranche of the Burning Abyss	EFFECT TUNER MONSTER	734741
マガジンドラムゴン	Vorticular Drumgon	EFFECT LINK MONSTER	739444
虚の王 ウートガルザ	Utgarda, Generaider Boss of Delusion	EFFECT MONSTER	744887
ドローン	Doron	NORMAL MONSTER	756652
火霊使いヒータ	Hiita the Fire Charmer	EFFECT FLIP MONSTER	759393
魔導皇聖 トリス	Empress of Prophecy	EFFECT XYZ MONSTER	770365
逢魔ノ刻	Fateful Hour	TRAP	786906
超戦士の盾	Super Soldier Shield	TRAP COUNTER	799183
DDDの契約変更	D/D/D Contract Change	TRAP	811734
ネオフレムベル・レディ	Neo Flamvell Lady	EFFECT MONSTER	816427
ナンバーズ・ウォール	Number Wall	TRAP CONTINUOUS	847915
運命のドロー	Draw of Fate	SPELL	856784
ドラグニティアームズ－ミスティル	Dragunity Arma Mystletainn	EFFECT MONSTER	876330
パラレルポート・アーマー	Parallel Port Armor	TRAP	879958
怪鳥グライフ	Glife the Phantom Bird	EFFECT MONSTER	899287
ドラグニティナイト－ゲイボルグ	Dragunity Knight - Gae Bulg	EFFECT SYNCHRO MONSTER	900787
垂直着陸	Vertical Landing	QUICKPLAY SPELL	904185
幻獣機トークン	Mecha Phantom Beast Token	TOKEN NORMAL MONSTER	904186
予想GUY	Unexpected Dai	SPELL	911883
ガガガタッグ	Gagagatag	SPELL	917796
ギアギアーマー	Geargiarmor	EFFECT MONSTER	923596
起動兵長コマンドリボルバー	Boot-Up Corporal - Command Dynamo	EFFECT MONSTER	938717
罰ゲーム！	Penalty Game!	TRAP	967928
巨大要塞ゼロス	B.E.F. Zelos	SPELL FIELD	975299
アームド・ドラゴン LV3	Armed Dragon LV3	EFFECT MONSTER	980973
ハーフ・アンブレイク	Half Unbreak	TRAP	981540
リ・バウンド	Rebound	TRAP COUNTER	983995
エクスプレスロイド	Expressroid	EFFECT MONSTER	984114
DDD疾風王アレクサンダー	D/D/D Gust King Alexander	EFFECT SYNCHRO MONSTER	987311
トラブル・ダイバー	Doggy Diver	EFFECT MONSTER	1003028
スターライト・ジャンクション	Starlight Junktion	SPELL FIELD	1003840
煉獄の落とし穴	Void Trap Hole	TRAP	1005587
ジャンク・チェンジャー	Junk Changer	EFFECT TUNER MONSTER	1006081
苦渋の決断	Painful Decision	SPELL	1033312
ミスフォーチュン	Misfortune	SPELL	1036974
ギアギアーノ Mk－II	Geargiano Mk-II	EFFECT MONSTER	1045143
星因士 ウヌク	Satellarknight Unukalhai	EFFECT MONSTER	1050186
